"","GSM944864.30","GSM944836.26","GSM944857.29","GSM944843.27","GSM944840.7","GSM944833.6","GSM944861.10","GSM944854.9","GSM944835.21","GSM944842.22","GSM944856.24","GSM944849.23","GSM944852.4","GSM944859.5","GSM944831.1","GSM944845.3","GSM944844.32","GSM944858.34","GSM944851.33","GSM944865.35","GSM944841.12","GSM944862.15","GSM944848.13","GSM944834.11"
"1426168_a_at",10.3619485353644,10.2420889275302,10.6178489064967,9.67055598244906,8.67816951930144,10.2989106680483,10.7523913530706,8.58852255294283,8.85297855701117,8.25198092985013,10.2636828921166,10.2608558487595,7.92378141892211,7.9759756443755,10.4976179399849,10.6237888370285,7.76721518951508,7.79630239205406,9.48466829730683,10.6157010044678,10.6055165176208,10.1420601193674,8.07984617027654,8.20680027760546
"1426716_at",7.55857864569291,7.3920757325291,7.70628487436968,7.49937759949784,9.10359364585588,7.95666478022415,7.26841467594942,8.91734716552913,9.188956551403,8.27367752520782,7.85336666641748,8.03105789490363,9.13112112504736,8.59645355344874,7.74467800804073,7.90551103858854,7.68778478346165,9.74567332983003,8.01996601136764,7.67692051155166,7.8036981287696,7.76740673508653,8.6556909752189,9.06019616624636
"1427628_at",6.21486702179571,6.36237314875634,6.51835591254589,6.00326928020225,6.09085984517723,6.25835655959466,6.47702854261348,5.87181495956024,5.72464437925832,5.67695805534274,6.30529884738841,6.24406455289783,5.74418683998494,5.79932235169524,6.25849855406995,6.69807328274447,5.43797011880869,5.70666573913321,5.81150987446587,6.37134419929247,6.43367456665404,6.18654770097395,6.0038035246281,5.78067353256623
"1427765_a_at",6.72556750435421,6.36985902949819,7.19013153721322,5.56125546474089,5.98257654143719,6.94735908605034,6.68412377333403,5.33136803730132,5.71990796544599,5.6494519356996,6.81750885950382,6.41031047477655,5.52846030948988,5.24527439924394,6.82451408908961,6.96598113877452,5.50416612129523,5.16152607727903,5.70620737064599,6.83238827559859,6.86835108722039,6.83524761309962,5.67715948761302,5.40526036386309
"1427752_a_at",6.19747264090512,6.16883727978349,6.32092975167126,5.7184661836229,5.8716068825628,6.18202704992803,6.62978166533542,5.47509299485801,5.37422356405361,5.40981189441627,6.49098471679279,6.17371561637471,5.43578236466351,5.19532653388063,6.54718964655934,6.49897330910989,4.78640266828046,5.02977309733163,5.48973904268888,6.29927544817066,6.34894309868807,6.09371245359357,4.82469572781286,5.3458768180666
"1437658_a_at",6.80665707794938,6.71702065764341,6.99457184449895,7.15662523136767,6.28813174824856,6.90005170676695,7.36560011899623,5.93055915387315,5.94216707307471,6.07201004530983,6.92159501817522,7.0283531891832,5.98589646160177,6.18215704300753,6.8975619889553,7.17392780881164,6.36615774237636,6.22913444075987,6.4569316573164,7.09363522040423,7.1008931972702,7.00146357009892,6.11263319814104,6.31273945677107
"1437980_at",4.6897277419267,5.06704897529756,5.10183358329347,5.03947977628613,5.38893291470708,4.71913754317526,4.65306061227483,5.43098710735651,5.18458208232164,5.54110954971603,4.56358266715309,5.05943985400938,5.50852365770901,5.33178204543751,4.95945727375188,5.45435845634219,6.16407838277142,5.47908060157058,5.09598241599993,4.57811031325786,4.93742052653864,4.66712720005667,5.54784280477306,5.28928951417964
"1427325_s_at",9.49045026269449,9.43876587632363,9.42785037495103,8.91762620207403,8.84358193757389,9.37889992614785,9.82827121010108,9.899634227508,9.12079031117098,8.46452461399419,9.56790146638776,9.49204950382786,8.96322956437874,9.13593367619879,9.51400769317086,9.6444629498425,8.17756043024763,8.98660698024,9.03443297301634,9.53698044774428,9.4192435297086,9.30752846933754,8.97981657163061,9.15448929967096
"1433735_a_at",8.14570806974427,8.03106071095361,8.25260632514628,9.11272296751173,6.99674141871709,7.8496735379781,8.38489735405859,6.75365948810386,7.04602850011816,6.26436158679838,8.31490420496735,8.27723138406268,6.58535395910801,6.72182438917274,8.29886552234841,8.36309353374975,7.13081006882912,7.10350611197179,7.8553909774056,8.48546089133476,8.56298179583653,8.29168875321419,7.12551044212887,6.75684040190288
"1440344_at",3.75220570017,3.55628969498212,4.0652637600601,4.58676338859497,3.88814769262723,4.19899731631237,4.35851429432755,5.3897813003232,4.64827520100848,3.83230046983733,4.97297580090369,4.38032911212658,4.61894763931864,4.21045876154644,4.2777308549309,4.70405315693319,3.73845649421637,4.49787544507842,4.49042757904747,4.48405697405357,3.95666176636551,3.78713400674774,4.12787600431622,4.42813506721669
